Name,X-Coordinate,Y-Coordinate,Tag,Area (ha),Imperv. (%),공원녹지 X,
S00954TTTT,178972.172,552066.7,자족시설,0.09,85,FALSE,85
S00955TTTF,178996.891,552067.5,자족시설,0.057749,85,FALSE,85
S00956TFTT,179037.078,552065.938,자족시설,0.060111,85,FALSE,85
S00957TTTT,179062.172,552066.7,자족시설,0.09,85,FALSE,85
S00958TTTT,179091.578,552067.2,자족시설,0.086027,85,FALSE,85
S00959TTFF,179109.875,552076,자족시설,0.006911,85,FALSE,85
S00960FFTT,179158.375,552059.7,자족시설,0.029506,85,FALSE,85
S00961FTTT,179181.969,552060.938,자족시설,0.042779,85,FALSE,85
S00962TFFT,179212.156,552068.4,자족시설,0.04175,85,FALSE,85
S00963TTFT,179243.031,552073.563,공원,0.046538,15,TRUE,100
S00964TTFT,179272.953,552070.6,공원,0.065977,15,TRUE,100
S00965TTFT,179302.625,552067.438,공원,0.08528,15,TRUE,100
S00966TTTT,179332.172,552066.7,공원,0.09,15,TRUE,100
S00967TTTT,179362.172,552066.7,공원,0.09,15,TRUE,100
S00968TTTT,179383.6,552062.6,공원,0.03151,15,TRUE,100
S01037TTTF,178474.563,552038.563,녹지,0.015018,0,TRUE,100
S01041TFFT,178583.6,552043.5,자족시설,0.046491,85,FALSE,85
S01042TTFT,178612.875,552040.563,자족시설,0.066308,85,FALSE,85
S01043TTFT,178642.656,552037.6,자족시설,0.084311,85,FALSE,85
S01044TTTT,178672.172,552036.7,자족시설,0.09,85,FALSE,85
S01045TTTT,178702.172,552036.7,자족시설,0.09,85,FALSE,85
S01046TTTT,178732.172,552036.7,자족시설,0.09,85,FALSE,85
S01047TTTT,178762.172,552036.7,자족시설,0.09,85,FALSE,85
S01048TTTT,178792.172,552036.7,자족시설,0.089993,85,FALSE,85
S01049FTTT,178821.609,552035.1,자족시설,0.080385,85,FALSE,85
S01050FTTT,178851.438,552032.1,자족시설,0.062148,85,FALSE,85
S01051FTTT,178881.672,552030.1,자족시설,0.046089,85,FALSE,85
S01052FTFF,178912.3,552035.7,자족시설,0.045458,85,FALSE,85
S01053TFFT,178942.328,552041.5,자족시설,0.04782,85,FALSE,85
S01054TTFT,178973.016,552041.438,자족시설,0.061086,85,FALSE,85
S01055TTFF,178994.016,552040,자족시설,0.033456,85,FALSE,85
S01056TFTT,179033.953,552036.1,자족시설,0.078932,85,FALSE,85
S01057TTTT,179062.172,552036.7,자족시설,0.09,85,FALSE,85
S01058TTTF,179086.047,552038.8,자족시설,0.050213,85,FALSE,85
S01059FFTT,179135.766,552024.9,자족시설,0.002007,85,FALSE,85
S01060TTTT,179153.563,552035.75,자족시설,0.080664,85,FALSE,85
S01061TTTT,179182.172,552036.7,자족시설,0.09,85,FALSE,85
S01062TTTT,179212.172,552036.7,자족시설,0.09,85,FALSE,85
S01063FTTF,179237.063,552036.6,자족시설,0.043302,85,FALSE,85
S01064FTTT,179271.516,552032,자족시설,0.061295,85,FALSE,85
S01065FTTT,179301.563,552029.75,자족시설,0.046042,85,FALSE,85
S01066FTTF,179332.4,552034.7,자족시설,0.045372,85,FALSE,85
S01067TFTT,179365.25,552039.438,공원,0.05868,15,TRUE,100
S01068TTTT,179384.453,552046.063,공원,0.015785,15,TRUE,100
S01137TTTT,178476.359,552018.938,녹지,0.000999,0,TRUE,100
S01138FTTT,178493.266,552007.4,자족시설,0.082981,85,FALSE,85
S01139FTTT,178522.172,552006.7,자족시설,0.09,85,FALSE,85
S01140FFTT,178554.266,552006,자족시설,0.030059,85,FALSE,85
S01141FTTT,178581.547,552003.438,자족시설,0.069992,85,FALSE,85
S01142FTTT,178611.328,552000.5,자족시설,0.052314,85,FALSE,85
S01143FTTF,178640.766,551997.938,자족시설,0.034395,85,FALSE,85
S01144TFFT,178677.484,552011.938,자족시설,0.018528,85,FALSE,85
S01145TTFT,178702.422,552013.25,자족시설,0.036323,85,FALSE,85
S01146TTFT,178733.1,552013.25,자족시설,0.050009,85,FALSE,85
S01147TTFT,178762.844,552010.25,자족시설,0.068434,85,FALSE,85
S01148TTFT,178792.578,552007.4,보행자전용도로,0.085859,100,TRUE,100
S01149TTTT,178822.172,552006.7,자족시설,0.09,85,FALSE,85
S01150TTTT,178852.172,552006.7,자족시설,0.09,85,FALSE,85
S01151TTTF,178882.172,552006.7,자족시설,0.09,85,FALSE,85
S01155FFFT,178999.359,552002.75,자족시설,0.022649,85,FALSE,85
S01156TTFT,179032.188,552006.7,자족시설,0.089927,85,FALSE,85
S01157TTFT,179061.828,552007,자족시설,0.087696,85,FALSE,85
S01158TTFF,179080.375,552014.938,자족시설,0.009741,85,FALSE,85
S01159FFTT,179131.047,552003.6,자족시설,0.032671,85,FALSE,85
S01160TTTT,179152.172,552006.7,자족시설,0.09,85,FALSE,85
S01161TTTT,179182.172,552006.7,자족시설,0.09,85,FALSE,85
S01162TTTT,179212.172,552006.7,자족시설,0.09,85,FALSE,85
S01163FFTT,179243.7,552006.8,자족시설,0.04188,85,FALSE,85
S01164TTTT,179272.172,552006.7,자족시설,0.09,85,FALSE,85
S01165TTTT,179302.172,552006.7,자족시설,0.09,85,FALSE,85
S01166TTTT,179332.172,552006.7,자족시설,0.09,85,FALSE,85
S01167TFTT,179366.422,552006.8,공원,0.044123,15,TRUE,100
S01168TTTT,179382.609,552003.1,공원,0.027952,15,TRUE,100
S01238TTTT,178497.453,551977.9,자족시설,0.057354,85,FALSE,85
S01239TTTF,178521.188,551977.2,자족시설,0.083818,85,FALSE,85
S01240TFTT,178560.469,551975.563,자족시설,0.038868,85,FALSE,85
S01241TTTT,178582.172,551976.7,자족시설,0.09,85,FALSE,85
S01242TTTT,178612.172,551976.7,자족시설,0.09,85,FALSE,85
S01243TTTF,178639.828,551977.3,자족시설,0.075478,85,FALSE,85
S01244FFTT,178680.047,551975.5,자족시설,0.041936,85,FALSE,85
S01245FTTT,178702.078,551976.563,자족시설,0.089227,85,FALSE,85
S01246FTTT,178731.563,551974.3,자족시설,0.075283,85,FALSE,85
S01247FTTT,178761.344,551971.2,자족시설,0.056599,85,FALSE,85
S01248FTTT,178791.281,551968.75,보행자전용도로,0.038916,100,TRUE,100
S01249FTTF,178822.156,551975.6,자족시설,0.034516,85,FALSE,85
S01250TFFT,178852.75,551984.25,자족시설,0.036327,85,FALSE,85
S01251TTFF,178883.063,551982.938,자족시설,0.052135,85,FALSE,85
S01258FFTT,179106.875,551962.4,자족시설,8.90E-05,85,FALSE,85
S01259TTTT,179124.781,551975.3,자족시설,0.072582,85,FALSE,85
S01260TTTT,179152.172,551976.7,자족시설,0.09,85,FALSE,85
S01261TTTT,179182.172,551976.7,자족시설,0.09,85,FALSE,85
S01262TTTF,179211.6,551977.063,자족시설,0.086298,85,FALSE,85
S01263TFTT,179249.359,551976.063,자족시설,0.043479,85,FALSE,85
S01264TTTT,179272.172,551976.7,자족시설,0.09,85,FALSE,85
S01265TTTT,179302.172,551976.7,자족시설,0.09,85,FALSE,85
S01266TTTT,179332.172,551976.7,자족시설,0.09,85,FALSE,85
S01267TFFT,179362.922,551976.8,공원,0.04208,15,TRUE,100
S01268TTTT,179388.766,551975.25,공원,0.067605,15,TRUE,100
S01338TTTT,178501.734,551948.9,녹지,0.030729,0,TRUE,100
S01339TTTF,178518.328,551947.4,자족시설,0.066522,85,FALSE,85
S01340TFTT,178557.5,551945.9,자족시설,0.057533,85,FALSE,85
S01341TTTT,178582.172,551946.7,자족시설,0.09,85,FALSE,85
S01342TTTT,178612.172,551946.7,자족시설,0.09,85,FALSE,85
S01343TTTF,178636.672,551947.563,자족시설,0.056472,85,FALSE,85
S01344TFFT,178677.641,551949.25,자족시설,0.027351,85,FALSE,85
S01345TTFT,178702.9,551953.3,자족시설,0.047279,85,FALSE,85
S01346TTFT,178732.922,551950.7,자족시설,0.065444,85,FALSE,85
S01347TTFT,178762.672,551947.563,자족시설,0.084323,85,FALSE,85
S01348TTTT,178792.172,551946.7,자족시설,0.09,85,FALSE,85
S01349TTTT,178822.172,551946.7,자족시설,0.09,85,FALSE,85
S01350FTTT,178851.938,551946.4,자족시설,0.087931,85,FALSE,85
S01351FTTF,178881.266,551943.9,자족시설,0.070643,85,FALSE,85
S01352FFTT,178918.641,551939.563,상업시설,0.023005,100,FALSE,100
S01353FTTT,178941.313,551938.4,상업시설,0.033914,100,FALSE,100
S01354FTTF,178970.938,551946.6,상업시설,0.027418,100,FALSE,100
S01358FFFT,179103.109,551944.4,자족시설,0.018313,85,FALSE,85
S01359TTFT,179122.266,551946.8,자족시설,0.08943,85,FALSE,85
